0000	丁鱥, 丁鳜
0001	金鱼, 鲫鱼
0002	大白鲨
0003	虎鲨
0004	双髻鲨
0005	电鳐, 鱲鱼, 鲯鳅
0006	刺魟
0007	公鸡
0008	母鸡
0009	鸵鸟
0010	椋鸟, 燕雀
0011	金翅雀
0012	云雀, 麻雀
0013	灯心草雀属, 雪鸟
0014	靛蓝彩鹀, 靛蓝彩雀
0015	知更鸟, 旅鸫
0016	夜莺
0017	松鸦
0018	喜鹊
0019	山雀
0020	河乌
0021	鸢
0022	白头海雕
0023	秃鹫
0024	猫头鹰
0025	火螈
0026	蝾螈
0027	水蜥
0028	斑点钝口螈, 黄点钝口螈
0029	墨西哥钝口螈
0030	蛤蟆
0031	树蛙
0032	尾蟾
0033	红海龟
0034	棱皮龟
0035	东方泥龟
0036	水龟
0037	箱龟
0038	带斑守宫, 条纹壁虎, 带斑壁虎, 鞘爪虎
0039	美洲鬣蜥, 绿鬣蜥
0040	美洲变色龙, 绿变色蜥, 绿安乐蜥
0041	鞭尾蜥
0042	鬣蜥
0043	褶伞蜥, 斗篷蜥, 褶颈蜥
0044	鳄蜥, 鼍蜥
0045	美国毒蜥
0046	欧洲绿蜥
0047	变色龙
0048	科莫多巨蜥
0049	尼罗鳄
0050	美洲短吻鳄
0051	三角恐龙
0052	蠕蛇
0053	环颈蛇
0054	东部猪鼻蛇
0055	翠青蛇
0056	王蛇
0057	束带蛇, 草蛇
0058	水蛇
0059	长鼻树蛇, 腾蛇, 绿瘦蛇
0060	夜蛇
0061	红尾蚺
0062	非洲岩蟒
0063	印度眼镜蛇, 膨颈蛇
0064	绿曼巴蛇
0065	海蛇
0066	非洲角蝰
0067	东部菱背响尾蛇
0068	沙漠响尾蛇, 角响尾蛇
0069	三叶虫
0070	盲蛛
0071	蝎子
0072	橙色金蛛, 黄囊蜘蛛, 黄色花园蜘蛛, 金色花园蜘蛛
0073	金丝魔蛛, 谷仓蜘蛛
0074	十字园蛛, 园圃蜘蛛, 花园十字蛛
0075	黑寡妇蜘蛛, 红斑寇蛛
0076	捕鸟蛛, 塔兰托毒蛛
0077	狼蛛
0078	蜱虫
0079	蜈蚣
0080	黑琴鸡, 乌鸡
0081	松鸡, 雷鸟
0082	披肩榛鸡
0083	角雉, 榛鸡
0084	孔雀
0085	鹌鹑
0086	鹧鸪
0087	非洲灰鹦鹉
0088	金刚鹦鹉
0089	凤头鹦鹉
0090	彩虹吸蜜鹦鹉
0091	鸦鹃
0092	蜂虎
0093	犀鸟
0094	蜂鸟
0095	鹟䴕
0096	巨嘴鸟, 鵎鵼
0097	鸭子, 公鸭
0098	红胸秋沙鸭
0099	鹅
0100	黑天鹅
0101	长牙象
0102	针鼹
0103	鸭嘴兽
0104	沙袋鼠
0105	考拉
0106	土拨鼠
0107	水母
0108	海葵
0109	脑珊瑚
0110	扁形虫, 扁形动物
0111	线虫动物
0112	海螺
0113	蜗牛
0114	蛞蝓
0115	海蛞蝓
0116	石鳖
0117	海螺
0118	首长黄道蟹, 珍宝蟹, 黄金蟹
0119	岩蟹, 石蟹, 斑纹黄道蟹
0120	招潮蟹
0121	堪察加拟石蟹, 帝王蟹, 鳕场蟹
0122	美洲螯龙虾, 波士顿龙虾, 缅因龙虾
0123	刺鳌虾, 龙虾
0124	淡水鳌虾
0125	寄居蟹
0126	等足目, 具足虫, 潮虫, 球潮虫
0127	白鹳
0128	黑鹳
0129	琵鹭
0130	火烈鸟
0131	小蓝鹭
0132	大白鹭
0133	苇鳽, 苇𫛚
0134	鹤
0135	秧鹤
0136	黑水鸡, 紫水鸡
0137	美洲瓣蹼鹬
0138	大鸨
0139	翻石鹬
0140	黑腹滨鹬
0141	红脚鹬
0142	长嘴半蹼鹬
0143	蛎鹬
0144	鹈鹕
0145	帝企鹅
0146	信天翁
0147	灰鲸
0148	虎鯨, 逆戟鲸
0149	儒艮
0150	海狮
0151	吉娃娃犬
0152	日本狆
0153	马尔济斯犬, 魔天使犬
0154	京巴犬, 北京犬
0155	西施犬
0156	骑士查理王小猎犬
0157	蝴蝶犬, 巴比伦犬
0158	玩具㹴
0159	罗得西亚背脊犬
0160	阿富汗猎犬, 喀布尔犬
0161	巴吉度猎犬
0162	猎兔犬, 小猎兔犬, 比格犬
0163	寻血猎犬
0164	布鲁泰克猎浣熊犬
0165	黑褐猎浣熊犬
0166	树丛浣熊猎犬
0167	英国猎狐犬
0168	红骨猎浣熊犬
0169	苏俄牧羊犬, 波索猎犬. 苏俄猎狼犬
0170	爱尔兰猎狼犬
0171	意大利灵缇犬, 意大利灰狗
0172	惠比特犬
0173	伊比莎猎犬
0174	挪威猎麋犬
0175	奥达猎犬
0176	萨路基猎犬
0177	苏格兰猎鹿犬
0178	威玛猎犬
0179	斯塔福郡斗牛㹴
0180	美国斯塔福梗
0181	贝林顿梗
0182	边境㹴
0183	凯利蓝㹴
0184	爱尔兰㹴
0185	诺福克㹴
0186	诺里奇㹴, 罗威士㹴
0187	约克夏㹴
0188	刚毛猎狐㹴
0189	湖畔㹴
0190	西利汉姆㹴
0191	万能㹴, 宾利㹴, 滨水㹴
0192	凯恩㹴
0193	澳大利亚㹴
0194	丹第丁蒙㹴, 短脚狄文㹴
0195	波士顿㹴
0196	迷你雪纳瑞犬
0197	巨型雪纳瑞犬
0198	标准雪纳瑞犬
0199	苏格兰㹴
0200	西藏㹴
0201	澳大利亚丝头㹴
0202	爱尔兰麦色软毛㹴
0203	西高地白㹴
0204	拉萨犬
0205	平毛寻回犬
0206	卷毛猎犬
0207	黄金拾猎犬, 金毛寻回犬, 金毛猎犬
0208	拉布拉多犬
0209	切萨皮克湾寻猎犬
0210	德国短毛指示犬
0211	维兹拉犬
0212	英国雪达犬, 英国长毛猎犬
0213	爱尔兰雪达犬
0214	戈登雪达犬
0215	布列塔尼猎犬
0216	克伦伯猎犬
0217	史宾格犬
0218	威尔士史宾格犬
0219	英国可卡犬, 可卡獚
0220	萨塞克斯猎犬, 苏塞克斯獚
0221	爱尔兰水猎犬
0222	库瓦兹犬
0223	史奇派克犬, 舒伯奇犬
0224	格罗安达犬, 比利时牧羊犬
